x,y,image_name
291,304,0001.png
292,305,0002.png
292,305,0003.png
292,305,0004.png
292,307,0005.png
291,306,0006.png
291,305,0007.png
291,307,0008.png
293,308,0009.png
293,308,0010.png
293,308,0011.png
291,306,0012.png
291,306,0013.png
291,306,0014.png
291,306,0015.png
291,306,0016.png
291,306,0017.png
291,306,0018.png
291,306,0019.png
291,306,0020.png
291,306,0021.png
291,306,0022.png
292,307,0023.png
291,306,0024.png
291,306,0025.png
291,306,0026.png
291,306,0027.png
291,306,0028.png
291,306,0029.png
291,306,0030.png
291,306,0031.png
291,306,0032.png
291,306,0033.png
291,306,0034.png
291,306,0035.png
291,306,0036.png
291,306,0037.png
291,306,0038.png
293,306,0039.png
291,307,0040.png
292,307,0041.png
292,307,0042.png
292,307,0043.png
292,307,0044.png
292,307,0045.png
292,307,0046.png
291,307,0047.png
291,307,0048.png
291,307,0049.png
291,307,0050.png
291,307,0051.png
291,307,0052.png
291,307,0053.png
291,307,0054.png
291,307,0055.png
291,307,0056.png
291,307,0057.png
291,307,0058.png
291,307,0059.png
291,307,0060.png
291,307,0061.png
291,307,0062.png
291,307,0063.png
291,307,0064.png
291,307,0065.png
291,307,0066.png
291,307,0067.png
291,307,0068.png
291,307,0069.png
291,307,0070.png
291,307,0071.png
291,307,0072.png
291,307,0073.png
291,307,0074.png
291,307,0075.png
291,307,0076.png
291,307,0077.png
291,308,0078.png
291,308,0079.png
291,308,0080.png
291,308,0081.png
291,308,0082.png
291,308,0083.png
291,308,0084.png
291,308,0085.png
290,308,0086.png
290,308,0087.png
291,308,0088.png
291,308,0089.png
291,308,0090.png
291,308,0091.png
291,308,0092.png
291,308,0093.png
291,308,0094.png
290,308,0095.png
290,308,0096.png
290,308,0097.png
290,308,0098.png
290,308,0099.png
290,308,0100.png
290,308,0101.png
290,308,0102.png
290,308,0103.png
290,308,0104.png
290,308,0105.png
290,308,0106.png
290,308,0107.png
290,308,0108.png
290,308,0109.png
290,308,0110.png
290,308,0111.png
290,308,0112.png
290,308,0113.png
290,308,0114.png
290,308,0115.png
290,308,0116.png
290,308,0117.png
290,308,0118.png
290,309,0119.png
290,309,0120.png
288,309,0121.png
288,309,0122.png
288,309,0123.png
288,309,0124.png
289,309,0125.png
289,309,0126.png
289,309,0127.png
289,309,0128.png
289,309,0129.png
289,309,0130.png
289,309,0131.png
289,309,0132.png
289,309,0133.png
289,309,0134.png
289,309,0135.png
289,309,0136.png
289,309,0137.png
289,309,0138.png
289,309,0139.png
289,309,0140.png
289,309,0141.png
289,309,0142.png
291,309,0143.png
291,309,0144.png
291,309,0145.png
291,309,0146.png
292,309,0147.png
292,309,0148.png
294,309,0149.png
294,309,0150.png
294,309,0151.png
294,309,0152.png
294,309,0153.png
294,309,0154.png
294,309,0155.png
294,309,0156.png
294,309,0157.png
294,309,0158.png
294,309,0159.png
294,309,0160.png
294,309,0161.png
294,309,0162.png
294,309,0163.png
294,309,0164.png
298,309,0165.png
298,309,0166.png
298,309,0167.png
298,309,0168.png
296,309,0169.png
296,309,0170.png
296,309,0171.png
296,309,0172.png
301,309,0173.png
301,309,0174.png
298,309,0175.png
298,309,0176.png
298,309,0177.png
298,309,0178.png
298,309,0179.png
298,309,0180.png
299,309,0181.png
299,309,0182.png
299,309,0183.png
299,309,0184.png
299,309,0185.png
299,309,0186.png
299,309,0187.png
299,309,0188.png
300,308,0189.png
305,308,0189.png
305,308,0190.png
305,308,0191.png
305,308,0192.png
305,308,0193.png
305,308,0194.png
305,308,0195.png
305,308,0196.png
308,307,0197.png
308,307,0198.png
308,307,0199.png
308,307,0200.png
308,307,0201.png
308,307,0202.png
308,307,0203.png
308,307,0204.png
308,307,0205.png
308,307,0206.png
308,307,0207.png
308,307,0208.png
308,307,0209.png
308,307,0210.png
308,307,0211.png
308,307,0212.png
317,307,0213.png
317,305,0214.png
317,305,0215.png
317,305,0216.png
317,305,0217.png
317,305,0218.png
317,305,0219.png
317,305,0220.png
322,305,0221.png
322,305,0222.png
322,305,0223.png
322,305,0224.png
322,305,0225.png
322,305,0226.png
322,305,0227.png
322,305,0228.png
322,305,0229.png
322,305,0230.png
322,305,0231.png
322,305,0232.png
322,305,0233.png
322,305,0234.png
322,305,0235.png
322,305,0236.png
334,305,0237.png
334,306,0238.png
334,306,0239.png
334,306,0240.png
334,306,0241.png
334,306,0242.png
334,306,0243.png
334,306,0244.png
337,306,0245.png
338,306,0246.png
338,306,0247.png
338,306,0248.png
338,306,0249.png
338,306,0250.png
338,306,0251.png
338,306,0252.png
338,306,0253.png
338,306,0254.png
338,306,0255.png
338,306,0256.png
338,306,0257.png
338,306,0258.png
338,306,0259.png
338,306,0260.png
349,307,0261.png
349,307,0262.png
349,307,0263.png
349,307,0264.png
349,307,0265.png
349,307,0266.png
349,307,0267.png
349,307,0268.png
353,304,0269.png
354,305,0270.png
354,305,0273.png
354,305,0274.png
354,305,0275.png
354,305,0276.png
354,305,0277.png
354,305,0278.png
354,305,0279.png
354,305,0280.png
354,305,0281.png
354,305,0282.png
354,305,0283.png
354,305,0284.png
364,304,0285.png
