x,y,filepath
196.59467,256.0488,rotated_0000.png
200.68756,281.2494,rotated_0001.png
228.38722,201.82867,rotated_0002.png
315.42477,268.87225,rotated_0003.png
198.91547,230.73434,rotated_0004.png
195.47144,248.17116,rotated_0005.png
315.50653,265.21796,rotated_0006.png
218.21802,304.97473,rotated_0007.png
201.03433,223.56895,rotated_0008.png
318.75793,267.59497,rotated_0009.png
192.61151,263.40936,rotated_0010.png
308.2234,224.41336,rotated_0011.png
266.37122,316.14514,rotated_0012.png
245.81645,195.82275,rotated_0013.png
313.10626,277.53772,rotated_0014.png
281.9051,200.73767,rotated_0015.png
308.8025,286.60876,rotated_0016.png
295.0244,302.92645,rotated_0017.png
228.43126,201.5485,rotated_0018.png
282.29962,200.92432,rotated_0019.png
204.03427,223.99118,rotated_0020.png
207.69348,218.69742,rotated_0021.png
203.06921,222.90424,rotated_0022.png
195.03241,253.17906,rotated_0023.png
221.85995,205.4089,rotated_0024.png
194.98688,254.4535,rotated_0025.png
313.35455,235.13249,rotated_0026.png
314.36108,238.13986,rotated_0027.png
315.73804,268.50458,rotated_0028.png
292.2494,305.10175,rotated_0029.png
291.85916,305.38745,rotated_0030.png
313.8062,275.58173,rotated_0031.png
196.62067,241.88971,rotated_0032.png
309.3403,226.33832,rotated_0033.png
196.2136,268.2713,rotated_0034.png
316.6864,249.5071,rotated_0035.png
270.23166,196.64966,rotated_0036.png
230.44656,311.42584,rotated_0037.png
195.76996,240.46472,rotated_0038.png
294.2516,304.60883,rotated_0039.png
288.60223,202.76376,rotated_0040.png
213.74173,210.05179,rotated_0041.png
210.9433,212.7924,rotated_0042.png
315.74078,274.11188,rotated_0043.png
280.37308,313.4713,rotated_0044.png
213.8259,209.97455,rotated_0045.png
282.99194,200.3454,rotated_0046.png
285.22025,310.51764,rotated_0047.png
307.6697,221.99646,rotated_0048.png
218.37967,305.099,rotated_0049.png
194.39972,261.6042,rotated_0050.png
316.54755,268.649,rotated_0051.png
264.31744,194.70715,rotated_0052.png
316.95337,245.47923,rotated_0053.png
194.63611,248.22346,rotated_0054.png
317.71405,260.16833,rotated_0055.png
280.93005,199.39178,rotated_0056.png
266.78534,316.90714,rotated_0057.png
287.73074,309.09576,rotated_0058.png
316.09003,241.33063,rotated_0059.png
248.38197,317.3838,rotated_0060.png
272.34818,196.34485,rotated_0061.png
242.40042,195.6589,rotated_0062.png
236.64215,314.74753,rotated_0063.png
316.48996,268.92154,rotated_0064.png
251.54266,194.30615,rotated_0065.png
275.30917,314.76355,rotated_0066.png
251.10805,317.66092,rotated_0067.png
241.54016,316.14078,rotated_0068.png
266.11353,317.02225,rotated_0069.png
269.67548,316.32397,rotated_0070.png
202.21149,225.45825,rotated_0071.png
231.292,312.7055,rotated_0072.png
206.71234,293.37283,rotated_0073.png
309.89053,225.63867,rotated_0074.png
305.06262,218.33221,rotated_0075.png
233.2396,313.51492,rotated_0076.png
311.59058,227.03989,rotated_0077.png
266.71655,317.75882,rotated_0078.png
316.7263,271.53433,rotated_0079.png
317.685,267.1338,rotated_0080.png
249.13957,318.3052,rotated_0081.png
195.1081,270.8719,rotated_0082.png
200.85126,226.20714,rotated_0083.png
220.98727,307.99142,rotated_0084.png
263.5631,317.66687,rotated_0085.png
215.6565,208.75171,rotated_0086.png
295.81778,304.41016,rotated_0087.png
199.0293,282.14078,rotated_0088.png
317.61768,244.49939,rotated_0089.png
209.94147,213.48393,rotated_0090.png
206.69879,217.29095,rotated_0091.png
286.1919,201.06866,rotated_0092.png
247.98901,193.83234,rotated_0093.png
268.94574,316.76517,rotated_0094.png
288.12744,202.8227,rotated_0095.png
273.05505,196.25784,rotated_0096.png
197.40921,235.3332,rotated_0097.png
217.31802,304.61795,rotated_0098.png
219.4206,306.219,rotated_0099.png
222.60233,203.61111,rotated_0100.png
281.15277,199.19034,rotated_0101.png
290.9309,204.62073,rotated_0102.png
238.37439,196.42368,rotated_0103.png
245.86227,317.2962,rotated_0104.png
221.1933,307.4635,rotated_0105.png
307.28455,220.93011,rotated_0106.png
193.89026,257.54272,rotated_0107.png
228.41232,311.66794,rotated_0108.png
318.1283,255.71936,rotated_0109.png
318.06744,258.7627,rotated_0110.png
312.66574,230.52467,rotated_0111.png
232.1041,198.65033,rotated_0112.png
193.8711,256.0647,rotated_0113.png
197.5592,234.91277,rotated_0114.png
248.294,194.35083,rotated_0115.png
315.37405,274.29535,rotated_0116.png
278.06128,314.0801,rotated_0117.png
280.87613,313.8462,rotated_0118.png
294.4929,305.8327,rotated_0119.png
285.55225,201.5972,rotated_0120.png
224.6439,309.38348,rotated_0121.png
304.78647,217.8833,rotated_0122.png
317.77646,251.91687,rotated_0123.png
197.24496,277.1151,rotated_0124.png
311.16357,226.76001,rotated_0125.png
195.2778,241.48044,rotated_0126.png
315.83215,273.83575,rotated_0127.png
302.7946,297.3312,rotated_0128.png
312.3648,282.8516,rotated_0129.png
196.54956,275.06946,rotated_0130.png
311.21844,226.8638,rotated_0131.png
296.76413,303.28937,rotated_0132.png
295.2737,304.53424,rotated_0133.png
270.29834,316.77463,rotated_0134.png
315.20685,275.8128,rotated_0135.png
314.67392,277.33936,rotated_0136.png
310.44812,225.4484,rotated_0137.png
257.3595,318.41916,rotated_0138.png
249.55585,193.89948,rotated_0139.png
316.398,271.81396,rotated_0140.png
219.29993,306.50848,rotated_0141.png
204.45807,293.1137,rotated_0142.png
192.68097,251.03061,rotated_0143.png
242.44019,193.95059,rotated_0144.png
318.27838,268.4661,rotated_0145.png
304.39352,297.9889,rotated_0146.png
303.69507,298.78058,rotated_0147.png
281.34918,195.91321,rotated_0148.png
247.09506,320.6042,rotated_0149.png
273.97467,193.31097,rotated_0150.png
211.78738,208.06003,rotated_0151.png
202.8836,218.16283,rotated_0152.png
203.29285,294.40515,rotated_0153.png
262.03,191.06439,rotated_0154.png
308.74387,294.35474,rotated_0155.png
317.5731,277.48853,rotated_0156.png
